date,state,population,Rtdata,Rtmod,Rtmod_ub,Rtmod_lb
2020-05-04,MS,2809394,1.1305540877243734,1.4130852485758658,1.591025494616631,1.3658996539488937
2020-05-05,MS,2809394,1.3797679101066669,1.4300281900224638,1.6651707883923357,1.375698288125039
2020-05-06,MS,2809394,1.6862813835468442,1.4749292173586868,1.7112357997720329,1.3844051785604172
2020-05-07,MS,2809394,1.9272616375533225,1.5493786817251674,1.7469697545696388,1.3908432753571032
2020-05-08,MS,2809394,2.0863731963776218,1.6070564626593495,1.7946098332236498,1.3919531493686357
2020-05-09,MS,2809394,2.1854798725010918,1.6443621131537527,1.8393937647279743,1.3969538427689079
2020-05-10,MS,2809394,1.9980254631876857,1.6904622627029036,1.8660097272943863,1.4040636849194086
2020-05-11,MS,2809394,1.9035146805178755,1.7227759554844069,1.8973594325516647,1.4302325995340834
2020-05-12,MS,2809394,1.816725711517137,1.753990246265542,1.914640150952664,1.4391068525162003
2020-05-13,MS,2809394,1.8148398361649327,1.7831827215343106,1.9314300032514289,1.507856089028794
2020-05-14,MS,2809394,2.099518492281851,1.8136143722152336,1.9797360115257343,1.581817218206303
2020-05-15,MS,2809394,2.130026310686596,1.8215260103243047,2.0078477422555934,1.6009729007048996
2020-05-16,MS,2809394,1.9451088361762263,1.8338805927257715,2.0376354089805973,1.608308137951477
2020-05-17,MS,2809394,1.9913431526099583,1.8402772281817108,2.05086460709258,1.613321221595231
2020-05-18,MS,2809394,1.9874919193454843,1.8430949276402413,2.064407350107711,1.614461007898854
2020-03-23,MG,21292666,2.7687210697351574,2.7096456128898243,3.5656580524648884,1.7197179927561947
2020-03-24,MG,21292666,2.658831750609057,2.2960393230560223,3.3048869062628197,1.6361562087398125
2020-03-25,MG,21292666,2.4900379981421934,1.9967590443669017,2.962216044545226,1.5774035983596213
2020-03-26,MG,21292666,1.4466357417770763,1.8106848678317757,2.8764580837702503,1.5362940743238158
2020-03-27,MG,21292666,1.656100537396958,1.6878195205148177,2.6718079757868844,1.5061544127854254
2020-03-28,MG,21292666,1.6420498944059074,1.6071310642000292,2.4054927663890946,1.483666653814237
2020-03-29,MG,21292666,1.7177259096970847,1.5528756092304854,2.0693577786503377,1.46532893922478
2020-03-30,MG,21292666,1.7829288218033628,1.5151773240146933,1.8535021939384169,1.4511319017251112
2020-03-31,MG,21292666,1.7412809396112583,1.489190296514316,1.7145515119752703,1.4393981344541118
2020-04-01,MG,21292666,1.6626176319130093,1.4685656797356257,1.6199048084117833,1.430726287974307
2020-04-02,MG,21292666,1.8316375541889016,1.4535624733927994,1.5554824440459307,1.4238819683464272
2020-04-03,MG,21292666,1.7764020266263918,1.44322938712787,1.511037100889137,1.4168502085294556
2020-04-04,MG,21292666,1.5999371299248772,1.435214746081596,1.481944040377248,1.4115876274102024
2020-04-05,MG,21292666,1.4766359918373584,1.4293027054561758,1.4657805622110502,1.4062287196366383
2020-04-06,MG,21292666,1.461837935651962,1.4248753994127603,1.4580399962480957,1.402549969464753
2020-04-07,MG,21292666,1.4303200123376865,1.4218829244227882,1.4497161290577565,1.3995723770466295
2020-04-08,MG,21292666,1.2728365301563769,1.4187167485014942,1.449122002540439,1.3974125478818484
2020-04-09,MG,21292666,1.3572163786998062,1.4171900549864689,1.4457040955235585,1.396818352769315
2020-04-10,MG,21292666,1.1839859252976668,1.4160734349855004,1.4470888474501709,1.3946393413894993
2020-04-11,MG,21292666,1.20710044353123,1.4148797948157044,1.4442764239582349,1.3935127218113972
2020-04-12,MG,21292666,1.0761338206062876,1.413206147085152,1.4406559453710293,1.3923109684876889
2020-04-13,MG,21292666,1.1048657765535794,1.41255723865441,1.4433133121550408,1.3911865108858712
2020-04-14,MG,21292666,1.1318551576651057,1.4116265093519176,1.4488756212028249,1.3904387764463568
2020-04-15,MG,21292666,1.1131864107779754,1.4130874456046314,1.4466421319179048,1.389824707871759
2020-04-16,MG,21292666,1.3713870050704688,1.4095337409381044,1.4453369708615245,1.3895618319131593
2020-04-17,MG,21292666,1.200096251412831,1.4103398189083474,1.445872485716858,1.3892164104779992
2020-04-18,MG,21292666,1.2535848930282367,1.410323853553134,1.4458546556141496,1.3906976350400948
2020-04-19,MG,21292666,1.211738111566632,1.4103193158908454,1.445551654918673,1.384176100921241
2020-04-20,MG,21292666,1.041883140798399,1.4105676037120882,1.4457447387467683,1.3838898272239
2020-04-21,MG,21292666,1.2201878435258855,1.4104663955742294,1.447128336222266,1.3840593809255624
2020-04-22,MG,21292666,1.1422054919059044,1.4106089482354216,1.4410681677553239,1.3851546496011915
2020-04-23,MG,21292666,1.2299068712179273,1.4103679317352884,1.4441442106900788,1.3878861988884692
2020-04-24,MG,21292666,1.1920801428647516,1.4102562133588945,1.4467241156603643,1.3871695561835748
2020-04-25,MG,21292666,1.1978457255221036,1.4100404383588785,1.444350734460769,1.3878534941205691
2020-04-26,MG,21292666,1.4390011431222969,1.41027632140378,1.4452031405476122,1.3879021722598943
2020-04-27,MG,21292666,1.2590490929775984,1.4104020570847466,1.4462146867356622,1.387908612078201
2020-04-28,MG,21292666,1.3549409829222312,1.4102296566344716,1.4454828254773726,1.3878879231488206
2020-04-29,MG,21292666,1.3660348615222484,1.4101767145742796,1.4453076766008701,1.3878596535917926
2020-04-30,MG,21292666,1.4705220799979308,1.4101792102323327,1.445226214610032,1.3877684512142916
2020-05-01,MG,21292666,1.8421535103140056,1.4101249428810911,1.4450427561338266,1.3877125108154709
2020-05-02,MG,21292666,1.710895579289532,1.4100235824406868,1.4450982388664184,1.387682153022066
2020-05-03,MG,21292666,1.782584567022501,1.4101895054967981,1.4451987430780442,1.3876106001684776
2020-05-04,MG,21292666,1.7674013339054282,1.4100622042655857,1.4452275786225854,1.387582815326876
2020-05-05,MG,21292666,1.7947357709444691,1.4101383465242758,1.4450585459048502,1.3874894032004852
2020-05-06,MG,21292666,1.802438640616154,1.4098909795333443,1.445097724976758,1.387461135830632
2020-05-07,MG,21292666,1.465085110203469,1.409848933010064,1.4449957388928223,1.3874173155717646
2020-05-08,MG,21292666,1.3320004205047369,1.4098133933225432,1.4448914351400777,1.3873014108677824
2020-05-09,MG,21292666,1.2047036759138772,1.4098080611177326,1.4448620710608706,1.3872912668949815
2020-05-10,MG,21292666,1.3407370193128565,1.4096946213353676,1.4447597538429875,1.38721417431801
2020-05-11,MG,21292666,1.3458646104956824,1.4095298059518493,1.444662794281771,1.3872124012283724
2020-05-12,MG,21292666,1.3768919117951914,1.4096117282857246,1.4445701564212032,1.3871659373385825
2020-05-13,MG,21292666,1.5218160937062586,1.4095355176366755,1.444500429876315,1.3870504484192354
2020-05-14,MG,21292666,1.5105063393450855,1.409456951903767,1.4444370544397467,1.3870111503889224
2020-05-15,MG,21292666,1.3968180704401465,1.4093098769603791,1.4443657128793874,1.3869056680504712
2020-05-16,MG,21292666,1.3114222298789011,1.4092326437283091,1.4442985440334204,1.3867556977297906
2020-05-17,MG,21292666,1.347658215063563,1.4091968011826528,1.444226086922583,1.3867600602901908
2020-05-18,MG,21292666,1.3533983054169971,1.4091150554533844,1.4441663845096149,1.3866549516832674
2020-04-06,PA,8690745,1.9325129061378603,2.5164346419319923,2.910458976817041,2.395607240556344
2020-04-07,PA,8690745,2.4082481694105224,2.51208076328147,2.9078849762816,2.3900877791476285
2020-04-08,PA,8690745,2.3393862311687186,2.5081330333773426,2.9054014473724625,2.3863756871849064
2020-04-09,PA,8690745,1.8363065640377685,2.506310405395121,2.901817236052433,2.3831532406912737
2020-04-10,PA,8690745,1.8815579377025016,2.5046614117950554,2.895131317723844,2.38283385335649
2020-04-11,PA,8690745,2.3820187839911533,2.499935496625328,2.894461586891018,2.381858993787379
2020-04-12,PA,8690745,3.0613749322415638,2.499116478876404,2.893479344469341,2.36854703833446
2020-04-13,PA,8690745,2.785607164875475,2.498274461092524,2.8756727846375685,2.367226383362441
2020-04-14,PA,8690745,2.7056914726321315,2.4906262196428472,2.8002841949636776,2.365219158927921
2020-04-15,PA,8690745,2.2472202656953235,2.4711861451249018,2.736700929258167,2.2187605882850647
2020-04-16,PA,8690745,1.9102884658297403,2.4655218589985544,2.6710498857816316,2.096746649790819
2020-04-17,PA,8690745,2.342143967421185,2.4623894759226626,2.6228416507525507,2.0161951273079337
2020-04-18,PA,8690745,2.144969302991579,2.4483823712705877,2.6055043621256297,1.9618642960639552
2020-04-19,PA,8690745,2.2460828171576344,2.4301270694115837,2.5715052861499945,1.9247654064458883
2020-04-20,PA,8690745,1.9887183657312035,2.3589396206566344,2.502084928724512,1.8991230392371263
2020-04-21,PA,8690745,2.6006172783652337,2.190790858783818,2.474080353835534,1.88119895488026
2020-04-22,PA,8690745,2.5625379622587614,2.072467497832605,2.4572627352121392,1.868195202983061
2020-04-23,PA,8690745,2.440612219814335,1.991055287994956,2.3963635772032648,1.85866256978772
