state,type,beta0,beta1,beta2,tcut0,tcut1,delta,R0,date_first_case,date_com_trans
CE,Capital,1.75 (1.62 - 1.98),0.6 (0.56 - 0.71),-,Apr/04 (Apr/02 - Apr/07),-,0.54 (0.47 - 0.65),4.05 (3.43 - 5.19),-,-
CE,State,1.77 (1.67 - 1.98),0.67 (0.64 - 0.78),-,Apr/02 (Apr/01 - Apr/06),-,0.54 (0.5 - 0.64),4.09 (3.67 - 5.13),Mar/16,Mar/20
CE,Inland cities,1.4 (1.21 - 1.81),1.09 (0.96 - 1.39),-,Apr/16 (Apr/07 - Apr/22),-,0.33 (0.26 - 0.52),2.41 (1.85 - 4.08),-,-
DF,State,1.82 (1.63 - 1.99),0.66 (0.59 - 0.88),0.93 (0.84 - 1.22),Mar/23 (Mar/21 - Mar/29),Apr/21 (Apr/19 - Apr/26),0.35 (0.29 - 0.54),3.24 (2.63 - 4.6),Mar/07,Mar/27
ES,Capital,1.44 (1.2 - 1.76),0.96 (0.82 - 1.26),-,Apr/15 (Apr/13 - Apr/16),-,0.24 (0.17 - 0.54),2.12 (1.53 - 4.07),-,-
ES,State,1.57 (1.46 - 1.82),0.85 (0.78 - 1),-,Apr/14 (Apr/13 - Apr/15),-,0.32 (0.28 - 0.48),2.66 (2.31 - 3.9),Mar/06,Mar/30
ES,Inland cities,1.5 (1.37 - 1.85),0.85 (0.76 - 1.03),-,Apr/15 (Apr/14 - Apr/16),-,0.33 (0.28 - 0.54),2.59 (2.17 - 4.28),-,-
GO,Capital,1.33 (1.09 - 1.84),0.89 (0.76 - 1.23),-,Apr/05 (Apr/03 - Apr/14),-,0.26 (0.2 - 0.56),2.03 (1.48 - 4.36),-,-
GO,State,1.37 (1.21 - 1.9),0.95 (0.81 - 1.29),-,Apr/04 (Mar/26 - Apr/09),-,0.26 (0.18 - 0.47),2.09 (1.58 - 4.02),Mar/12,Mar/15
GO,Inland cities,1.11 (0.98 - 1.39),1.47 (1.24 - 1.78),-,May/11 (May/09 - May/16),-,0.19 (0.14 - 0.45),1.48 (1.17 - 2.86),-,-
