,date,state,cases,deaths,population,Infec_mean,Infec_lb,Infec_ub
13,2020-03-25,PR,37,0,3029641.0,70.02539796320582,53.33004767040492,86.9589326701338
14,2020-03-26,PR,40,0,3029641.0,79.14199658699269,61.19695969574414,97.9342603233595
15,2020-03-27,PR,54,2,3313001.0,88.92313700021492,69.63699892995982,109.52745392020027
16,2020-03-28,PR,63,2,3327060.0,99.41491711388748,78.79324651374034,121.56022251653965
17,2020-03-29,PR,79,2,3870395.0,110.673145269908,88.23774450669262,134.53305282704588
18,2020-03-30,PR,83,3,4056135.0,122.75656031165451,99.43851041320832,147.93860084395484
19,2020-03-31,PR,98,3,4226207.0,135.7277844340854,110.76453935404415,161.57132899163653
20,2020-04-01,PR,132,3,4793429.0,149.65103113755956,123.04798347591206,176.2988469906168
21,2020-04-02,PR,159,4,5080164.0,164.59836472818827,137.85229387653044,192.1354808003229
22,2020-04-03,PR,193,5,5376464.0,180.6540105504333,153.62844614563298,209.4190302538547
23,2020-04-04,PR,248,7,5564499.0,197.87735825458202,170.27352334028689,227.56062634609418
24,2020-04-05,PR,273,10,5594761.0,216.37741472582317,188.27315920595612,246.38378911274032
25,2020-04-06,PR,291,11,5637251.0,236.24742096972076,206.58116495706062,266.91110778715216
26,2020-04-07,PR,317,12,5663138.0,257.5877665440451,225.564608300168,289.82243029282813
27,2020-04-08,PR,345,14,5845976.0,280.5103937885495,246.97202342560647,314.8378696094703
28,2020-04-09,PR,384,19,5873680.0,305.1321744258398,269.52777645507683,341.6321287820092
29,2020-04-10,PR,404,21,5919640.0,331.54542996767134,294.19785561276814,370.25948866228805
30,2020-04-11,PR,409,22,5919640.0,359.49478538853293,319.2147874131944,400.0311271860994
31,2020-04-12,PR,448,25,5930634.0,388.38673127767123,344.275241706239,429.6338380408397
32,2020-04-13,PR,469,27,6078218.0,417.77992151066627,370.15427673175407,460.5931002883535
33,2020-04-14,PR,501,32,6104989.0,447.4867375605273,396.5536019590978,490.86606068779844
34,2020-04-15,PR,510,33,6120108.0,477.4974744779373,423.67127464385214,521.623703082556
35,2020-04-16,PR,525,35,6129330.0,507.8004045320629,452.17473125667976,554.342939138785
36,2020-04-17,PR,552,36,6134832.0,538.4378425834357,481.2517867438129,587.1104369521944
37,2020-04-18,PR,614,40,6283789.0,569.4515406858911,510.5435892659645,619.9640818256343
38,2020-04-19,PR,642,43,6352711.0,600.8821787941414,540.5096360122358,654.0962068421593
39,2020-04-20,PR,653,44,6449378.0,632.7638136940972,571.1893472583498,688.4039802428692
40,2020-04-21,PR,666,44,6483778.0,665.1246426429642,602.4721775771662,723.2506317877202
41,2020-04-22,PR,697,46,6538253.0,697.9840979114363,634.2336285652494,757.7027265055733
42,2020-04-23,PR,707,48,6559269.0,731.3581008859857,666.7548787360943,792.2120768593325
43,2020-04-24,PR,736,53,6629430.0,765.2595457988205,699.0031957415417,827.0548410785452
44,2020-04-25,PR,754,57,6629430.0,799.7002882086027,730.8215909549954,862.2333892200389
45,2020-04-26,PR,767,59,6632633.0,834.6907198360028,763.5365561439721,897.7595435354227
46,2020-04-27,PR,787,61,6666199.0,870.241469936939,798.2075694628619,933.6301203140326
47,2020-04-28,PR,860,62,6698210.0,906.362638553895,834.7486060338564,969.8513817895914
48,2020-04-29,PR,930,67,6732039.0,943.0646030426067,871.5854332147608,1006.4253080380755
49,2020-04-30,PR,979,68,6760171.0,980.3578161139163,908.5916892748468,1043.353960395363
50,2020-05-01,PR,1011,69,6792017.0,1018.2519941289123,946.4465993730254,1080.6375759734976
51,2020-05-02,PR,1043,70,6826509.0,1056.759150686199,984.2616057994746,1119.8940960057196
52,2020-05-03,PR,1063,73,6826509.0,1095.8888816790197,1024.2693507761207,1159.9141824133308
53,2020-05-04,PR,1096,74,6854497.0,1135.6531453184684,1065.6860718088108,1197.8625563224955
54,2020-05-05,PR,1117,76,6872603.0,1176.0613369484172,1110.3055875797168,1236.393567612771
55,2020-05-06,PR,1147,78,6919413.0,1217.1256404710427,1154.929970770562,1278.6015759816125
56,2020-05-07,PR,1172,80,6933043.0,1258.8584536844412,1199.1639127779615,1318.6013221009905
57,2020-05-08,PR,1220,81,6971264.0,1301.2705360508214,1244.5084919088938,1359.628457468435
58,2020-05-09,PR,1268,81,7045641.0,1344.3742466626347,1289.0412353615766,1402.0721089104068
59,2020-05-10,PR,1306,83,7084972.0,1388.1812788665331,1330.4759634233199,1445.3617120343865
60,2020-05-11,PR,1319,85,7104365.0,1432.7043850071866,1373.3266041165753,1488.1833816076544
61,2020-05-12,PR,1373,87,7179290.0,1477.9563484451091,1418.794485816072,1535.2289490807957
62,2020-05-13,PR,1452,90,7267634.0,1523.949877553156,1459.877870224107,1584.9645797523724
63,2020-05-14,PR,1509,91,7308694.0,1570.6982632569436,1507.620718652131,1631.736410122161
64,2020-05-15,PR,1560,92,7495243.0,1618.2148015562645,1548.3110579995914,1682.4670115849444
65,2020-05-16,PR,1643,93,7554387.0,1666.5127091445804,1593.1421942181726,1737.625383537694
66,2020-05-17,PR,1677,94,7554387.0,1715.606011308268,1639.7586717928643,1795.4826268203708
67,2020-05-18,PR,1748,96,7574611.0,1765.5090936863098,1686.2602864101543,1853.2112781124365
68,2020-05-19,PR,1871,99,7633832.0,1816.2355736020206,1727.1700525292465,1913.1148349966566
69,2020-05-20,PR,1979,106,7736602.0,1867.8008127644373,1769.0609095882435,1975.271668859937
70,2020-05-21,PR,2144,109,7826335.0,1920.2186079026412,1815.1814626102296,2034.9014966553827
71,2020-05-22,PR,2257,114,7865288.0,1973.5059860751721,1859.734300454342,2098.00402570559
0,2020-03-08,MG,1,0,238230.0,0.0,0.0,0.0
1,2020-03-09,MG,1,0,238230.0,1.133329649991043,0.3328456956603342,1.7827487899014591
2,2020-03-10,MG,1,0,238230.0,2.8964021299628184,1.4133959885159424,4.272804848146324
3,2020-03-11,MG,1,0,238230.0,5.118789398771121,2.964244334392335,7.3468976167884446
4,2020-03-12,MG,2,0,501640.0,7.724539675491361,4.6487813054960165,11.006434105868351
5,2020-03-13,MG,2,0,501640.0,10.698056142033996,6.806239570256716,15.103570475535689
6,2020-03-14,MG,4,0,1161270.0,14.034752405780509,9.134897616481824,19.622766537158448
7,2020-03-15,MG,4,0,1161270.0,17.755767765732262,11.796070080798474,24.593952245182056
8,2020-03-16,MG,5,0,1161270.0,21.892227976586213,14.881513202996349,30.117594329571013
9,2020-03-17,MG,9,0,2296958.0,26.48466438951043,18.40772043992233,36.21452931217604
10,2020-03-18,MG,9,0,2296958.0,31.57759758153413,21.797911734532317,42.75539863035128
11,2020-03-19,MG,11,0,2296958.0,37.22179512388256,26.540204217647265,49.70183874236898
12,2020-03-20,MG,18,0,2858862.0,43.47260488985367,32.00800651242902,57.64860469572138
13,2020-03-21,MG,24,0,2858862.0,50.38662520865191,37.85084065152051,65.40572102453913
14,2020-03-22,MG,24,0,2858862.0,58.02559767563185,43.76621514468003,73.83123541697782
15,2020-03-23,MG,68,0,4170130.0,66.44728220071943,50.71032384402786,82.9612661770006
16,2020-03-24,MG,43,0,4170130.0,75.7022569616651,59.186374551404846,92.88479547238592
17,2020-03-25,MG,43,0,4170130.0,85.81987795136669,68.58404820039621,104.36429069537365
18,2020-03-26,MG,57,0,4580224.0,96.83221330124891,79.157831834202,116.34316449821176
19,2020-03-27,MG,71,0,4801114.0,108.71615710644305,90.90631146475279,128.80575082746904
20,2020-03-28,MG,76,0,4801114.0,121.4459064312065,103.68597076899698,141.66426865802768
21,2020-03-29,MG,88,0,5176818.0,135.00363695912682,115.80998658590319,156.39442411773803
22,2020-03-30,MG,98,0,5351425.0,149.3640048796596,129.953607340185,171.33308330451484
23,2020-03-31,MG,112,0,5431421.0,164.50036649616897,143.29572148315182,185.8795273360006
24,2020-04-01,MG,126,1,5811830.0,180.39309869628414,156.43983526814213,201.85080061237386
25,2020-04-02,MG,160,1,6393257.0,197.0765159029951,171.23475837783434,220.17913807721297
26,2020-04-03,MG,172,3,6583869.0,214.62750192390843,186.8131328491812,239.52745307567653
27,2020-04-04,MG,193,3,6924835.0,233.11536959610046,204.06588929021234,259.21333598193064
28,2020-04-05,MG,236,3,7143476.0,252.603777951675,222.36202451260615,281.12822370797267
29,2020-04-06,MG,261,5,7962726.0,273.1550519149655,241.52074754585274,303.8133161641565
30,2020-04-07,MG,284,6,8022171.0,294.83106015100935,261.77497967398483,327.2513819299565
31,2020-04-08,MG,315,8,8128153.0,317.69398736552324,283.22078113887903,351.84210093026843
32,2020-04-09,MG,345,9,8363038.0,341.81390923624474,305.16658114468044,377.4025224609949
33,2020-04-10,MG,368,11,8583948.0,367.2571641900644,327.2289851370291,404.17292954462687
34,2020-04-11,MG,412,11,9036588.0,394.1012181751744,350.6334554542299,432.86553143719925
35,2020-04-12,MG,451,14,9265958.0,422.4182266778637,376.70083183753184,463.3918579417167
36,2020-04-13,MG,458,17,9265958.0,452.2936274173218,404.1115940724424,495.5826484918288
37,2020-04-14,MG,511,21,9606465.0,483.8158411403858,432.7238904760106,528.9610234089664
38,2020-04-15,MG,523,24,9651790.0,517.0712900353475,463.10348696838884,564.0496870298571
39,2020-04-16,MG,568,26,9828922.0,552.1569781627597,496.06186552969,600.9186010655708
40,2020-04-17,MG,615,27,10215087.0,589.1700785600024,531.1744866990945,639.6763044834697
41,2020-04-18,MG,657,31,10351879.0,628.2174417022202,568.5145264525094,680.4211900143478
42,2020-04-19,MG,706,31,10698397.0,669.4149443789697,607.0558539397883,723.242236613574
43,2020-04-20,MG,729,33,10813571.0,712.881481871082,647.4327206826655,768.2633483458881
44,2020-04-21,MG,763,36,10821236.0,758.7293323510623,690.9526747413784,815.5496210014961
45,2020-04-22,MG,796,38,11040104.0,807.0989649579294,736.7955772587901,865.2563898945018
46,2020-04-23,MG,817,42,11107269.0,858.142469631169,785.4828521683768,917.5130337820416
47,2020-04-24,MG,900,43,11221471.0,911.9783669978792,837.8478565076642,972.4032111313118
48,2020-04-25,MG,953,47,11273563.0,968.7910024588882,893.4799791583379,1029.9999867791662
49,2020-04-26,MG,1004,50,11340038.0,1028.7267914751037,951.5628757352257,1090.7353267504814
50,2020-04-27,MG,1027,51,11435780.0,1091.9749202698142,1011.4325344371755,1154.5256657859986
51,2020-04-28,MG,1080,57,11537969.0,1158.6977004053465,1074.8155893532091,1221.6396456013742
52,2020-04-29,MG,1181,64,11627596.0,1229.0786414820168,1144.293379088907,1292.1538257082752
53,2020-04-30,MG,1234,65,11715803.0,1303.345735214424,1218.796517149417,1367.3010249672475
54,2020-05-01,MG,1325,68,11784656.0,1381.697586466027,1297.7326904352785,1448.2600524656605
55,2020-05-02,MG,1397,68,11883555.0,1464.3650859245436,1379.5601199529267,1533.57698175239
56,2020-05-03,MG,1472,69,12076991.0,1551.582566830461,1463.8003186142569,1623.1371165530984
57,2020-05-04,MG,1502,70,12102158.0,1643.6005119308759,1551.493782830211,1717.0927637712814
58,2020-05-05,MG,1601,72,12206237.0,1740.6861048377589,1644.1545428565787,1814.6183576821209
59,2020-05-06,MG,1748,74,12335307.0,1843.1202004595355,1745.1908890363254,1918.345054361748
60,2020-05-07,MG,1855,81,12543756.0,1951.1955257826928,1852.350944006878,2027.4615247878626
61,2020-05-08,MG,2017,86,12729298.0,2065.217539002717,1967.2471435435307,2141.674927934957
62,2020-05-09,MG,2163,92,12948651.0,2185.518509868359,2089.0457527224044,2262.0780153750584
63,2020-05-10,MG,2264,93,12997638.0,2312.443181740713,2218.1556094477,2387.1828507458013
64,2020-05-11,MG,2341,95,13056143.0,2446.3498717906377,2356.3654754119225,2522.8796260280096
65,2020-05-12,MG,2443,101,13219875.0,2587.6303602399357,2499.885004910265,2668.7783425932776
66,2020-05-13,MG,2685,107,13519735.0,2736.687242242285,2642.372737218237,2825.549917042248
67,2020-05-14,MG,2882,111,13809715.0,2893.948856764335,2790.98011815096,2990.3875529491925
68,2020-05-15,MG,3108,117,14072872.0,3059.866186927205,2947.1439602298033,3162.531832858679
69,2020-05-16,MG,3324,121,14225627.0,3234.9150351625713,3111.656432935337,3345.921703109706
70,2020-05-17,MG,3451,125,14294310.0,3419.59695634458,3284.633962900576,3545.084471853265
71,2020-05-18,MG,3506,130,14390963.0,3614.441287673285,3466.558140808472,3750.0120518428703
72,2020-05-19,MG,3728,134,14460749.0,3820.006138542911,3662.359528197626,3966.338757529042
73,2020-05-20,MG,3999,142,14616595.0,4036.8802728933297,3870.704444553654,4197.553612392355
74,2020-05-21,MG,4280,155,14668988.0,4265.683833125423,4089.5514574946806,4450.157917596245
75,2020-05-22,MG,4644,162,14789448.0,4507.071019088091,4313.964954963659,4719.159555469037
0,2020-03-07,SP,1,0,139447.0,0.0,0.0,0.0
1,2020-03-08,SP,1,0,139447.0,1.8172974989793111,0.6773974708602708,2.8727823004779762
2,2020-03-09,SP,1,0,139447.0,4.854968799630559,2.1572534127245184,7.245492990817767
3,2020-03-10,SP,1,0,139447.0,8.91934344155331,4.176259591089963,13.162257454751398
4,2020-03-11,SP,1,0,139447.0,13.991229034591573,6.762602094444653,20.666927345013008
5,2020-03-12,SP,2,0,333723.0,20.156591066428405,9.8218615308467,29.57558642560833
6,2020-03-13,SP,2,0,333723.0,27.570535734262208,13.422969828142072,40.035195728356
7,2020-03-14,SP,3,0,734650.0,36.44711621082232,18.51452186027523,52.294584386575295
8,2020-03-15,SP,3,0,734650.0,47.05724708134027,24.922447602436954,66.61180283753185
9,2020-03-16,SP,7,0,2926398.0,59.732836443820524,32.7867974085287,83.29289535685291
10,2020-03-17,SP,8,0,4305580.0,74.87500739198859,43.11671216661273,102.80155378297027
11,2020-03-18,SP,27,0,7971566.0,92.96877085367979,55.85307449563891,125.75612370161501
12,2020-03-19,SP,27,0,8636724.0,114.59574810789248,70.93706390684184,152.72442362457969
13,2020-03-20,SP,39,0,9313417.0,140.45515160095346,88.42338326482587,184.45514912957265
14,2020-03-21,SP,31,0,9313417.0,171.38699295472108,111.80508346858052,221.8073187779341
15,2020-03-22,SP,31,0,9313417.0,208.3191018645244,136.8319330162834,267.4054023014114
16,2020-03-23,SP,31,0,9313417.0,252.16202846638527,167.6022690429602,320.5302702072538
17,2020-03-24,SP,31,0,9313417.0,303.79031411760985,211.2800318228164,380.02453525656335
18,2020-03-25,SP,140,4,11086916.0,363.75500353430704,267.8247338997806,449.71282415464066
19,2020-03-26,SP,154,5,12150863.0,432.127781575514,332.6575909173258,527.813154237142
20,2020-03-27,SP,179,6,13254125.0,507.8064865634804,413.0187274891523,603.8435405078602
21,2020-03-28,SP,135,5,13254125.0,587.8063317333779,496.6502936911697,683.9736527106197
22,2020-03-29,SP,135,5,13254125.0,671.2051269424461,582.7088356140313,774.1788072182599
23,2020-03-30,SP,284,10,14878789.0,758.8183770195227,668.3006133930312,864.3185341298176
24,2020-03-31,SP,454,15,17955472.0,851.5136610819934,754.69965540544,958.0985075194324
25,2020-04-01,SP,563,20,18940102.0,949.9538305054667,844.5872907097586,1060.4749713079043
