Infec_mean,Infec_lb,Infec_ub,date,state,cases,deaths,population
10915.7381527388,10637.0257743713,11187.1571095076,2020-05-20,BA,11198,362,12073076
11656.4806619428,11323.7586149009,11950.4566083654,2020-05-21,BA,11942,376,12198738
12446.0683264108,12066.6913624708,12786.9532001847,2020-05-22,BA,12558,399,12319401
0,0,0,2020-03-16,CE,9,0,2749613
0.720602875058068,0.466065539229055,0.953833555845379,2020-03-17,CE,10,0,2749613
2.18570011614571,1.49615320560442,2.75885337112389,2020-03-18,CE,19,0,2958548
4.35865404211688,2.9890106974274,5.55457240982672,2020-03-19,CE,20,0,2958548
7.36373193641505,5.17522377307897,9.21577086161285,2020-03-20,CE,68,0,3249235
11.4253106680007,7.89222032375536,14.3716448363185,2020-03-21,CE,84,0,3249235
16.8616811191123,11.3486119706642,21.2803811497473,2020-03-22,CE,125,0,3249235
24.108943903118,15.8024809444715,30.5740613160203,2020-03-23,CE,164,0,3249235
33.7895534616582,21.4392309133152,43.0569455067084,2020-03-24,CE,185,0,3297197
46.7143895904121,28.749725756841,59.6820592185429,2020-03-25,CE,211,0,3297197
63.947986968977,36.5680341792532,81.8650283206452,2020-03-26,CE,237,3,3297197
86.9505763680989,47.2755354824884,111.668464265519,2020-03-27,CE,282,3,3426175
117.607063140758,60.4595474470318,152.659961910096,2020-03-28,CE,322,4,3875303
158.368362205933,76.3457601699756,207.263633346006,2020-03-29,CE,359,5,4141169
212.058471848936,94.9231529980873,278.608960702745,2020-03-30,CE,382,5,4194742
280.841714842427,156.475012265467,371.985945929648,2020-03-31,CE,401,7,4238445
364.367496835292,212.537731377074,479.597983364395,2020-04-01,CE,445,9,4368009
459.891280832355,284.444494084871,594.124659952325,2020-04-02,CE,565,0,4652742
563.605877892358,370.597387040523,716.023065153525,2020-04-03,CE,658,22,4760782
671.926157390686,461.031885867581,846.951780543643,2020-04-04,CE,745,23,4828119
784.342974936991,559.315422863359,984.351769016905,2020-04-05,CE,963,35,5378515
902.36123156642,649.464634161294,1133.40948637485,2020-04-06,CE,1046,36,5665900
1027.25187483252,750.665029119975,1298.13364442474,2020-04-07,CE,1189,40,5737643
1159.97872616742,851.778270370644,1471.42080479805,2020-04-08,CE,1394,57,5809201
1301.3531657565,957.192403244087,1654.28269841686,2020-04-09,CE,1445,57,5849922
1452.12010712722,1071.37502851882,1847.42146257123,2020-04-10,CE,1558,67,6159886
1613.0072025292,1195.0679022824,2050.10787882384,2020-04-11,CE,1668,74,6240947
1784.75413656746,1329.05350498431,2256.22521452297,2020-04-12,CE,1747,76,6313150
1968.1297580827,1470.99676515935,2473.82217964498,2020-04-13,CE,1936,100,6437737
2163.94347632402,1628.37339240449,2703.50532281242,2020-04-14,CE,2072,111,6512976
2373.05369467245,1796.34087307074,2945.89320594438,2020-04-15,CE,2292,124,6916094
2596.37381109837,1978.72509953071,3201.57706589994,2020-04-16,CE,2412,135,6998003
2834.87768046308,2173.49079066375,3470.96396697137,2020-04-17,CE,2747,155,7210996
3089.60343618699,2380.35980464293,3754.99772627469,2020-04-18,CE,3062,180,7293834
3361.65933028446,2604.51897376457,4067.00252833583,2020-04-19,CE,3308,189,7529989
3652.22906487252,2854.30898089343,4398.22572895799,2020-04-20,CE,3487,206,7585902
3962.57684881882,3124.90705072104,4748.51978555842,2020-04-21,CE,3686,221,7687871
4294.05295111947,3416.34743904287,5118.9143932194,2020-04-22,CE,4116,239,7769366
4648.10025323209,3730.21974594733,5510.49088458562,2020-04-23,CE,4702,271,7856198
5026.25139773655,4066.57136372834,5908.99570671066,2020-04-24,CE,5121,293,8105490
5430.15540447891,4422.93806044804,6361.31997994389,2020-04-25,CE,5667,326,8250631
5861.5594222166,4797.61572433302,6826.43757829222,2020-04-26,CE,6260,376,8338204
6322.34435984841,5195.99294695469,7316.45763601412,2020-04-27,CE,6783,397,8441370
6814.50155391766,5647.68325215025,7834.22146156099,2020-04-28,CE,6985,417,8461061
7340.15289478573,6146.17606840227,8405.10623736375,2020-04-29,CE,7411,450,8508563
7901.56433150887,6670.81879626788,9009.50406464086,2020-04-30,CE,7861,492,8603368
8501.16166427767,7241.64363349193,9650.65580560858,2020-05-01,CE,8000,539,8638160
9141.52722184329,7857.82493387648,10303.0019709584,2020-05-02,CE,8309,638,8638160
9825.4112599883,8516.33263935247,10950.4715385379,2020-05-03,CE,8379,677,8671538
10555.7444504508,9229.14533724808,11713.0429471218,2020-05-04,CE,11040,712,8913068
11335.6475691465,10001.9026848681,12551.7401758239,2020-05-05,CE,11470,795,8913068
12168.4445436829,10833.1175304207,13402.6328069566,2020-05-06,CE,12310,849,8913068
13057.6724378724,11712.5418699585,14359.8618845759,2020-05-07,CE,13888,903,8978132
14007.0953506535,12628.6312200278,15379.0329334769,2020-05-08,CE,15134,997,8995832
15020.7165553539,13509.5523109572,16443.5084578204,2020-05-09,CE,15879,1062,8995832
16102.7924550804,14452.9866584785,17644.811041451,2020-05-10,CE,16692,1114,9017828
17257.8439350173,15491.2070983283,18858.4218785976,2020-05-11,CE,17599,1189,9040536
18490.6735498278,16679.4535522661,20188.9660597187,2020-05-12,CE,18412,1280,9040536
19806.3738051658,17835.0368459793,21704.6344137539,2020-05-13,CE,19156,1389,9040536
21210.3493469445,18975.7154677199,23373.3543733816,2020-05-14,CE,21077,1413,9047069
22708.3275243328,20223.6292293248,25162.8249102668,2020-05-15,CE,23059,1566,9047069
24306.3735003086,21459.593197075,27080.2678398199,2020-05-16,CE,23795,1614,9047069
26010.904427065,22676.3126250466,29134.4639116187,2020-05-17,CE,24255,1641,9047069
27828.7036337476,23905.1765893837,31335.7038762414,2020-05-18,CE,26363,1748,9081216
29766.9371930049,25184.0064649886,33708.4245601446,2020-05-19,CE,28112,1856,9089808
31833.1661210093,26525.6013097504,36203.2386069576,2020-05-20,CE,30560,1900,9096096
34035.3584030504,27931.4736747192,38830.2855663183,2020-05-21,CE,31413,2161,9096096
36381.898323945,29608.038890596,41721.2433221197,2020-05-22,CE,34573,2251,9119648
0,0,0,2020-03-20,RO,1,0,128969
0.295861192797255,0.08667067858047,0.488747908489064,2020-03-21,RO,3,0,658513
0.731572428231393,0.299835977303369,1.14715774642276,2020-03-22,RO,3,0,658513
1.28307524287609,0.588664641633808,1.99547883399183,2020-03-23,RO,3,0,658513
1.94720882326488,0.958197019009243,2.98478995088116,2020-03-24,RO,5,0,658513
2.7297541311442,1.34764086441408,4.17676175660133,2020-03-25,RO,5,0,658513
3.6434231892852,1.88970294658125,5.52060804404421,2020-03-26,RO,6,0,658513
4.70494862165244,2.55689498492896,7.05091068191978,2020-03-27,RO,6,0,658513
5.93631447917145,3.3576455837105,8.78800635412228,2020-03-28,RO,6,0,658513
