date,state,cases,population_x,Infec,population_y,Rtdata,Rtmod
2020-04-29,MA,3190,7114598,3204.797744539293,1080406.0,2.1120235473947555,1.470688694579996
2020-04-30,MA,3506,7114598,3489.147084285214,1080406.0,1.804449494060064,1.4469619730645114
2020-05-01,MA,3805,7114598,3794.256961503574,1080406.0,1.2045264513485898,1.4279558724464552
2020-05-02,MA,4040,7114598,4121.640912351238,1080406.0,0.8943210283112879,1.4126565410874263
2020-05-03,MA,4227,7114598,4472.9087416408665,1080406.0,1.1465911871564556,1.400271754694137
2020-05-04,MA,4530,7114598,4849.785275102428,1080406.0,1.2486140857862622,1.3901768894470006
2020-05-05,MA,5028,7114598,5254.11984710477,1080406.0,1.5018662178004083,1.381879929036974
2020-05-06,MA,5389,7114598,5687.8971579683985,1080406.0,1.7223102534637886,1.3749925162175165
2020-05-07,MA,5909,7114598,6153.2333452889225,1080406.0,1.6493146719857557,1.3692072784990938
2020-05-08,MA,6765,7114598,6652.385362666536,1080406.0,1.911536788274202,1.3642806166589
2020-05-09,MA,7599,7114598,7187.784616643543,1080406.0,1.7536258388209944,1.3600196957995865
2020-05-10,MA,8144,7114598,7762.014619669645,1080406.0,1.47229645844902,1.3562736224170382
2020-05-11,MA,8526,7114598,8377.854921884295,1080406.0,1.183472468089004,1.3529186076817838
2020-05-12,MA,9112,7114598,9038.256882654248,1080406.0,1.121977719127912,1.3498563778141643
2020-05-13,MA,9801,7114598,9746.38806803094,1080406.0,1.1629080755202703,1.3470181995928059
2020-05-14,MA,10739,7114598,10505.631947151896,1080406.0,1.2597509991761573,1.3443405203621408
2020-05-15,MA,11592,7114598,11319.595395335968,1080406.0,1.2836447239126716,1.3417763269856182
2020-05-16,MA,12492,7114598,12192.131105752256,1080406.0,1.1462595327542928,1.3392902350078402
2020-05-17,MA,13238,7114598,13127.347750956267,1080406.0,1.1337815696180282,1.3368514622327945
2020-05-18,MA,14198,7114598,14129.624636171477,1080406.0,1.0205996442273997,1.3344405157017318
2020-05-19,MA,15114,7114598,15203.631832222949,1080406.0,0.8568267645729256,1.332033467123257
2020-05-20,MA,16058,7114598,16354.345132074484,,,
2020-05-21,MA,17212,7114598,17587.053659546975,,,
2020-05-22,MA,18767,7114598,18907.39249343494,,,
2020-03-20,MT,1,3526220,0.0,,,
2020-03-21,MT,1,3526220,0.8545452807526538,,,
2020-03-22,MT,1,3526220,2.217391499186703,,,
2020-03-23,MT,6,3526220,3.958166258946192,,,
2020-03-24,MT,7,3526220,6.0243861992847325,,,
2020-03-25,MT,9,3526220,8.39774826689463,,,
2020-03-26,MT,11,3526220,11.086437086152786,,,
2020-03-27,MT,11,3526220,14.107885683100974,,,
2020-03-28,MT,11,3526220,17.494425678163875,,,
2020-03-29,MT,11,3526220,21.280007229767133,,,
